value,n,name,pct
O,300,Dec_Code,0.004697482149567831
G,264,Dec_Code,0.004133784291619692
U,174,Dec_Code,0.0027245396467493422
E,112,Dec_Code,0.0017537266691719905
Z,100,Dec_Code,0.0015658273831892773
H,35,Dec_Code,5.480395841162471e-4
Q,29,Dec_Code,4.540899411248904e-4
W,12,Dec_Code,1.8789928598271326e-4
A,9,Dec_Code,1.4092446448703494e-4
C,3,Dec_Code,4.6974821495678314e-5
I,3,Dec_Code,4.6974821495678314e-5
J,1,Dec_Code,1.5658273831892774e-5
W,920454,FILING_METHOD,0.8730218498744702
O,133869,FILING_METHOD,0.12697056237557275
BD,7,FILING_METHOD,6.639281212446565e-6
BOS,1,FILING_METHOD,9.484687446352237e-7
A,995263,FILING_PARTY,0.9136561466384043
I,89347,FILING_PARTY,0.08202096906415843
B,4707,FILING_PARTY,0.0043210482879670695
BD,1,FILING_PARTY,9.180047350684235e-7
R,1,FILING_PARTY,9.180047350684235e-7
99,32525709,GENERATION,0.6360642877722479
98,7059570,GENERATION,0.1380551109286604
99,4447730,GENERATION,0.0869786486330939
97,2273665,GENERATION,0.044463200136780665
98,1728389,GENERATION,0.03379992480035986
99,1397626,GENERATION,0.027331609781726073
97,561396,GENERATION,0.010978513854938225
96,559415,GENERATION,0.01093977393526186
95,161984,GENERATION,0.0031677168848340802
96,147144,GENERATION,0.0028775097127001796
98,69139,GENERATION,0.0013520642637578
94,51453,GENERATION,0.0010062014573992983
95,42467,GENERATION,8.304735834912639e-4
97,34288,GENERATION,6.705271912484625e-4
93,18001,GENERATION,3.5202286425757036e-4
96,15370,GENERATION,3.005717139958256e-4
94,13468,GENERATION,2.6337669772906827e-4
92,7148,GENERATION,1.3978442496045292e-4
95,5799,GENERATION,1.1340373256094943e-4
93,4602,GENERATION,8.999551254448858e-5
91,2879,GENERATION,5.630097362355119e-5
94,2006,GENERATION,3.9228813160418094e-5
92,1748,GENERATION,3.418343240499044e-5
90,1190,GENERATION,2.327132984092599e-5
93,839,GENERATION,1.640726532482093e-5
91,670,GENERATION,1.3102345372622195e-5
89,544,GENERATION,1.0638322212994739e-5
92,408,GENERATION,7.978741659746054e-6
90,289,GENERATION,5.651608675653454e-6
88,179,GENERATION,3.5004773458199597e-6
91,154,GENERATION,3.011583861766893e-6
87,146,GENERATION,2.855137946869911e-6
89,140,GENERATION,2.737803510697175e-6
90,57,GENERATION,1.1146771436409927e-6
88,48,GENERATION,9.386754893818886e-7
86,45,GENERATION,8.800082712955206e-7
89,41,GENERATION,8.017853138470299e-7
87,34,GENERATION,6.648951383121712e-7
85,25,GENERATION,4.88893484053067e-7
84,18,GENERATION,3.5200330851820826e-7
88,16,GENERATION,3.128918297939629e-7
86,13,GENERATION,2.5422461170759487e-7
87,13,GENERATION,2.5422461170759487e-7
85,9,GENERATION,1.7600165425910413e-7
84,4,GENERATION,7.822295744849073e-8
86,2,GENERATION,3.911147872424536e-8
2007-05-11 23:46:14.963,1,GENERATION,1.955573936212268e-8
84,1,GENERATION,1.955573936212268e-8
85,1,GENERATION,1.955573936212268e-8
S,188552,IHP,0.7162224273434147
F,67907,IHP,0.2579474965718171
M,6745,IHP,0.025621156351729665
N,40,IHP,1.5194162402804842e-4
Y,14,IHP,5.317956840981695e-5
D,1,IHP,3.7985406007012108e-6
KSS,5,INTERPRETER_CODE,0.625
AAA,2,INTERPRETER_CODE,0.25
YM,1,INTERPRETER_CODE,0.125
IJ,174547,JURISDICTION,0.9931267958237319
000,1206,JURISDICTION,0.006861824699155074
930,1,JURISDICTION,5.689738556513328e-6
BIA,1,JURISDICTION,5.689738556513328e-6
M,7263514,LATEST_CAL_TYPE,0.7274585919769889
I,2720126,LATEST_CAL_TYPE,0.2724272342505293
R,843,LATEST_CAL_TYPE,8.44285001772698e-5
N,203,LATEST_CAL_TYPE,2.033094369630578e-5
0900,18,LATEST_CAL_TYPE,1.8027437760271132e-6
0830,17,LATEST_CAL_TYPE,1.702591344025607e-6
1300,12,LATEST_CAL_TYPE,1.2018291840180755e-6
S,12,LATEST_CAL_TYPE,1.2018291840180755e-6
1000,9,LATEST_CAL_TYPE,9.013718880135566e-7
0800,5,LATEST_CAL_TYPE,5.007621600075315e-7
1330,3,LATEST_CAL_TYPE,3.004572960045189e-7
T,3,LATEST_CAL_TYPE,3.004572960045189e-7
0,2,LATEST_CAL_TYPE,2.0030486400301258e-7
0930,2,LATEST_CAL_TYPE,2.0030486400301258e-7
1030,2,LATEST_CAL_TYPE,2.0030486400301258e-7
C,2,LATEST_CAL_TYPE,2.0030486400301258e-7
0000,1,LATEST_CAL_TYPE,1.0015243200150629e-7
0100,1,LATEST_CAL_TYPE,1.0015243200150629e-7
1130,1,LATEST_CAL_TYPE,1.0015243200150629e-7
1230,1,LATEST_CAL_TYPE,1.0015243200150629e-7
1400,1,LATEST_CAL_TYPE,1.0015243200150629e-7
2026-07-13 00:00:00.000,1,LATEST_CAL_TYPE,1.0015243200150629e-7
E,1,LATEST_CAL_TYPE,1.0015243200150629e-7
0,891520,LPR,0.9921707630584661
1,7018,LPR,0.00781031767671428
2024-09-09 00:00:00.000,2,LPR,2.2257958611325963e-6
1/2002,1,LPR,1.1128979305662981e-6
2015-10-26 00:00:00.000,1,LPR,1.1128979305662981e-6
2022-04-28 00:00:00.000,1,LPR,1.1128979305662981e-6
2022-12-15 00:00:00.000,1,LPR,1.1128979305662981e-6
