value,description,name,table
LOW,LOW SECURITY CORRECTIONAL INSTITUTION,inmate,inputs/Lookup/tblInmateHousing.csv
LTH,LEATH CORRECTIONAL INSTITUTION,inmate,inputs/Lookup/tblInmateHousing.csv
LUM,LUMBERTON CORRECTIONAL CENTER                     ,inmate,inputs/Lookup/tblInmateHousing.csv
MAC,MACDOUGALL CORRECTIONAL CENTER,inmate,inputs/Lookup/tblInmateHousing.csv
MAF,MARY FRANCIS CORRECTIONAL INSTITUTION,inmate,inputs/Lookup/tblInmateHousing.csv
MAN,MANNING CORRECTIONAL INSTITUTION,inmate,inputs/Lookup/tblInmateHousing.csv
MAO,CENTRAL CORRECTIONAL INSTITUTE,inmate,inputs/Lookup/tblInmateHousing.csv
MAR,MARION CORRECTIONAL INSTITUTION,inmate,inputs/Lookup/tblInmateHousing.csv
MAU,EASTERN CORRECTIONAL CENTER,inmate,inputs/Lookup/tblInmateHousing.csv
MCC,MCCORMICK CORRECTIONAL INSTITUTION,inmate,inputs/Lookup/tblInmateHousing.csv
MCD,MACDOUGALL CORRECTIONAL INSTITUTION               ,inmate,inputs/Lookup/tblInmateHousing.csv
MCH,MCCAIN CORRECTIONAL HOSPITAL                      ,inmate,inputs/Lookup/tblInmateHousing.csv
MCK,MECKLENBURG CORRECTIONAL CENTER                   ,inmate,inputs/Lookup/tblInmateHousing.csv
MCN,MACON CORRECTIONAL INSTITUTION                    ,inmate,inputs/Lookup/tblInmateHousing.csv
MEN,MEN'S CORRECTIONAL INSTITUTION,inmate,inputs/Lookup/tblInmateHousing.csv
MET,METRO CORRECTIONAL INSTITUTION,inmate,inputs/Lookup/tblInmateHousing.csv
MGC,MGCI WOMENS CORRECTIONAL INSTITUTION              ,inmate,inputs/Lookup/tblInmateHousing.csv
MON,MONTGOMERY CORRECTIONAL CENTER                    ,inmate,inputs/Lookup/tblInmateHousing.csv
MOR,MORRISON YOUTH INSTITUTION                        ,inmate,inputs/Lookup/tblInmateHousing.csv
MUS,MUSCOGEE C.I.,inmate,inputs/Lookup/tblInmateHousing.csv
NAG,CAMPAMENTO PUNTA LIMA,inmate,inputs/Lookup/tblInmateHousing.csv
NAS,NASH CORRECTIONAL INSTITUTE                       ,inmate,inputs/Lookup/tblInmateHousing.csv
NCC,N.C. DEPARTMENT OF CORRECTIONS                    ,inmate,inputs/Lookup/tblInmateHousing.csv
NCT,NORTH CAROLINA CORRECTIONAL CENTER                ,inmate,inputs/Lookup/tblInmateHousing.csv
NEU,NEUSE CORRECTIONAL INSTITUTION,inmate,inputs/Lookup/tblInmateHousing.csv
NHA,NEW HANOVER CORRECTIONAL CENTER,inmate,inputs/Lookup/tblInmateHousing.csv
NOR,NORTH CAROLINA CORRECTIONAL INSTITUTION,inmate,inputs/Lookup/tblInmateHousing.csv
NOT,NOTTOWAY CORRECTIONAL CNETER                      ,inmate,inputs/Lookup/tblInmateHousing.csv
NSV,NASH CORRECTIONAL INSTITUTION                     ,inmate,inputs/Lookup/tblInmateHousing.csv
NTH,NORTHSIDE CORRECTIONAL CENTER,inmate,inputs/Lookup/tblInmateHousing.csv
OCC,OCCOQUAN FACILITY                                 ,inmate,inputs/Lookup/tblInmateHousing.csv
OCO,OCONEE COUNTY JAIL,inmate,inputs/Lookup/tblInmateHousing.csv
ODO,ODOM CORRECTIONAL INSTITUTION,inmate,inputs/Lookup/tblInmateHousing.csv
ORA,ORANGE CORRECTIONAL CENTER                        ,inmate,inputs/Lookup/tblInmateHousing.csv
